
# Surface 0 of 1 surfaces

# Curve title: ""MAC_boco_omega.csv""

# IsoCurve 0, 201 points
# x y z type
 29.9  7.8 -0.00918525 i
 29.9  7.9 -0.0118937 i
 29.9  8 -0.0156138 i
 29.9  8.1 -0.0204322 i
 29.9  8.2 -0.0263764 i
 29.9  8.3 -0.0333943 i
 29.9  8.4 -0.0413378 i
 29.9  8.5 -0.0499558 i
 29.9  8.6 -0.0588979 i
 29.9  8.7 -0.067731 i
 29.9  8.8 -0.0759685 i
 29.9  8.9 -0.0831103 i
 29.9  9 -0.0886882 i
 29.9  9.1 -0.0923135 i
 29.9  9.2 -0.0937172 i
 29.9  9.3 -0.0927783 i
 29.9  9.4 -0.0895338 i
 29.9  9.5 -0.0841662 i
 29.9  9.6 -0.0770244 i
 29.9  9.7 -0.0687901 i
 29.9  9.8 -0.0612207 i
 29.9  9.9 -0.0573687 i
 29.9  10  0 i

# IsoCurve 2, 201 points
# x y z type
 29.8 -10  0 i
 29.8 -9.9 -0.00638617 i
 29.8 -9.8 -0.00695841 i
 29.8 -9.7 -0.00699986 i
 29.8 -9.6 -0.00691257 i
 29.8 -9.5 -0.00685857 i
 29.8 -9.4 -0.00687808 i
 29.8 -9.3 -0.00700767 i
 29.8 -9.2 -0.00730777 i
 29.8 -9.1 -0.00786107 i
 29.8 -9 -0.00876773 i
 29.8 -8.9 -0.0101399 i
 29.8 -8.8 -0.0120931 i
 29.8 -8.7 -0.0147342 i
 29.8 -8.6 -0.0181458 i
 29.8 -8.5 -0.0223688 i
 29.8 -8.4 -0.0273852 i
 29.8 -8.3 -0.0331037 i
 29.8 -8.2 -0.0393501 i
 29.8 -8.1 -0.0458674 i
 29.8 -8 -0.0523239 i
 29.8 -7.9 -0.0583336 i
 29.8 -7.8 -0.0634855 i
 29.8 -7.7 -0.0673813 i
 29.8 -7.6 -0.0696758 i
 29.8 -7.5 -0.0701172 i
 29.8 -7.4 -0.0685795 i
 29.8 -7.3 -0.0650839 i
 29.8 -7.2 -0.059803 i
 29.8 -7.1 -0.0530483 i
 29.8 -7 -0.0452389 i
 29.8 -6.9 -0.036857 i
 29.8 -6.8 -0.0283955 i
 29.8 -6.7 -0.0203052 i
 29.8 -6.6 -0.0129494 i
 29.8 -6.5 -0.00657261 i
 29.8 -6.4 -0.00128632 i
