
# Surface 0 of 1 surfaces

# Curve title: ""MAC_deco_5000.csv""

# IsoCurve 0, 201 points
# x y z type
 29.8 -3.8 -0.0789529 i
 29.8 -3.7 -0.0795886 i
 29.8 -3.6 -0.0795552 i
 29.8 -3.5 -0.0787693 i
 29.8 -3.4 -0.0771315 i
 29.8 -3.3 -0.0745212 i
 29.8 -3.2 -0.070786 i
 29.8 -3.1 -0.0657483 i
 29.8 -3 -0.0591052 i
 29.8 -2.9 -0.0504839 i
 29.8 -2.8 -0.0394479 i
 29.8 -2.7 -0.0254962 i
 29.8 -2.6 -0.00812058 i
 29.8 -2.5  0.0130667 i
 29.8 -2.4  0.0380722 i
 29.8 -2.3  0.066116 i
 29.8 -2.2  0.0951007 i
 29.8 -2.1  0.121162 i
 29.8 -2  0.138432 i
 29.8 -1.9  0.143402 i
 29.8 -1.8  0.137259 i
 29.8 -1.7  0.124056 i
 29.8 -1.6  0.107784 i
 29.8 -1.5  0.0908774 i
 29.8 -1.4  0.0748158 i
 29.8 -1.3  0.0603797 i
 29.8 -1.2  0.0478541 i
 29.8 -1.1  0.0372357 i
 29.8 -1  0.0283755 i
 29.8 -0.9  0.0210666 i
 29.8 -0.8  0.0150912 i
 29.8 -0.7  0.0102438 i
 29.8 -0.6  0.00634034 i
 29.8 -0.5  0.00322166 i
 29.8 -0.4  0.000752217 i
 29.8 -0.3 -0.00118168 i
 29.8 -0.2 -0.00267465 i
 29.8 -0.1 -0.00380478 i
 29.8  0 -0.00463612 i
 29.8  0.1 -0.00522082 i
 29.8  0.2 -0.00560097 i
 29.8  0.3 -0.00581029 i
 29.8  0.4 -0.00587557 i
 29.8  0.5 -0.00581795 i
 29.8  0.6 -0.00565411 i
 29.8  0.7 -0.00539737 i
 29.8  0.8 -0.00505863 i
 29.8  0.9 -0.00464729 i
 29.8  1 -0.00417196 i
 29.8  1.1 -0.003641 i
 29.8  1.2 -0.00306287 i
 29.8  1.3 -0.00244598 i
 29.8  1.4 -0.00179896 i
 29.8  1.5 -0.00112793 i
 29.8  1.6 -0.000447437 i
 29.8  1.7  0.000240435 i
 29.8  1.8  0.000931899 i
 29.8  1.9  0.00162349 i
 29.8  2  0.00231121 i
 29.8  2.1  0.00299089 i
 29.8  2.2  0.00365831 i
 29.8  2.3  0.00430934 i
 29.8  2.4  0.00493927 i
 29.8  2.5  0.00554371 i
 29.8  2.6  0.00611895 i
 29.8  2.7  0.00666216 i
 29.8  2.8  0.00717138 i
 29.8  2.9  0.00764532 i
 29.8  3  0.00808282 i
 29.8  3.1  0.00848245 i
 29.8  3.2  0.00884219 i
 29.8  3.3  0.00915934 i
 29.8  3.4  0.00943073 i
 29.8  3.5  0.00965323 i
 29.8  3.6  0.00982419 i
 29.8  3.7  0.00994196 i
 29.8  3.8  0.0100062 i
 29.8  3.9  0.010018 i
 29.8  4  0.00997983 i
 29.8  4.1  0.00989514 i
 29.8  4.2  0.00976827 i
 29.8  4.3  0.009604 i
 29.8  4.4  0.00940722 i
 29.8  4.5  0.00918273 i
 29.8  4.6  0.00893503 i
 29.8  4.7  0.00866821 i
 29.8  4.8  0.00838592 i
 29.8  4.9  0.00809136 i
 29.8  5  0.00778726 i
 29.8  5.1  0.00747597 i
 29.8  5.2  0.00715948 i
 29.8  5.3  0.0068395 i
 29.8  5.4  0.00651749 i
 29.8  5.5  0.00619474 i
 29.8  5.6  0.0058724 i
 29.8  5.7  0.00555153 i
 29.8  5.8  0.00523312 i
 29.8  5.9  0.00491814 i
 29.8  6  0.00460749 i
 29.8  6.1  0.00430206 i
 29.8  6.2  0.00400268 i
 29.8  6.3  0.00371014 i
 29.8  6.4  0.00342514 i
 29.8  6.5  0.00314833 i
 29.8  6.6  0.00288026 i
 29.8  6.7  0.0026214 i
 29.8  6.8  0.00237214 i
 29.8  6.9  0.00213279 i
 29.8  7  0.00190361 i
 29.8  7.1  0.00168478 i
 29.8  7.2  0.00147649 i
 29.8  7.3  0.00127887 i
 29.8  7.4  0.00109207 i
 29.8  7.5  0.000916242 i
 29.8  7.6  0.000751575 i
 29.8  7.7  0.000598281 i
 29.8  7.8  0.000456608 i
 29.8  7.9  0.000326836 i
 29.8  8  0.000209269 i
 29.8  8.1  0.000104218 i
 29.8  8.2  1.19765e-05 i
 29.8  8.3 -6.72083e-05 i
 29.8  8.4 -0.000133173 i
 29.8  8.5 -0.000185881 i
 29.8  8.6 -0.000225462 i
 29.8  8.7 -0.000252255 i
 29.8  8.8 -0.000266842 i
 29.8  8.9 -0.000270069 i
 29.8  9 -0.000263051 i
 29.8  9.1 -0.000247149 i
 29.8  9.2 -0.000223933 i
 29.8  9.3 -0.000195042 i
 29.8  9.4 -0.000162271 i
 29.8  9.5 -0.000126731 i
 29.8  9.6 -9.08746e-05 i
 29.8  9.7 -5.12908e-05 i
 29.8  9.8 -2.20683e-05 i
 29.8  9.9  3.87855e-05 i
 29.8  10  0 i

# IsoCurve 3, 201 points
# x y z type
 29.7 -10  0 i
 29.7 -9.9  7.41994e-06 i
 29.7 -9.8  8.29068e-05 i
 29.7 -9.7  0.000117721 i
 29.7 -9.6  0.000156728 i
 29.7 -9.5  0.000182249 i
 29.7 -9.4  0.000199508 i
 29.7 -9.3  0.000205059 i
 29.7 -9.2  0.000198498 i
 29.7 -9.1  0.000178287 i
 29.7 -9  0.000143423 i
 29.7 -8.9  9.29498e-05 i
 29.7 -8.8  2.6232e-05 i
 29.7 -8.7 -5.70795e-05 i
 29.7 -8.6 -0.000157017 i
 29.7 -8.5 -0.000273344 i
 29.7 -8.4 -0.00040563 i
 29.7 -8.3 -0.000553377 i
 29.7 -8.2 -0.000716194 i
 29.7 -8.1 -0.000893999 i
 29.7 -8 -0.00108726 i
 29.7 -7.9 -0.00129726 i
