
# Surface 0 of 1 surfaces

# Curve title: ""MAC_deco_5000.csv""

# Contour 0, label:     1.08
-0.74609 -0.9  0.44 
-0.8 -0.965359  0.44 
-0.844469 -1  0.44 
-0.9 -1.04453  0.44 
-0.996193 -1.1  0.44 
-1 -1.10233  0.44 
-1.1 -1.14853  0.44 
-1.2 -1.18371  0.44 
-1.26205 -1.2  0.44 
-1.3 -1.21095  0.44 
-1.4 -1.23133  0.44 
-1.5 -1.2449  0.44 
-1.6 -1.25215  0.44 
-1.7 -1.25336  0.44 
-1.8 -1.24861  0.44 
-1.9 -1.23786  0.44 
-2 -1.22103  0.44 
-2.09167 -1.2  0.44 
-2.1 -1.19794  0.44 
-2.2 -1.16822  0.44 
-2.3 -1.13158  0.44 
-2.37353 -1.1  0.44 
-2.4 -1.08748  0.44 
-2.5 -1.03488  0.44 
-2.55922 -1  0.44 
-2.6 -0.973142  0.44 
-2.7 -0.901125  0.44 
-2.70149 -0.9  0.44 
-2.8 -0.815608  0.44 
-2.81729 -0.8  0.44 
-2.9 -0.714452  0.44 
-2.91354 -0.7  0.44 
-2.99459 -0.6  0.44 
-3 -0.592209  0.44 
-3.06376 -0.5  0.44 
-3.1 -0.437268  0.44 
-3.12169 -0.4  0.44 
-3.17046 -0.3  0.44 
-3.2 -0.225376  0.44 
-3.21029 -0.2  0.44 
-3.24295 -0.1  0.44 
-3.26778  0  0.44 
-3.28538  0.1  0.44 
-3.2962  0.2  0.44 
-3.3  0.288845  0.44 
-3.3005  0.3  0.44 
-3.3  0.322353  0.44 
-3.29832  0.4  0.44 
-3.28967  0.5  0.44 
-3.27433  0.6  0.44 
-3.25197  0.7  0.44 
-3.22211  0.8  0.44 
-3.2  0.858984  0.44 
-3.18471  0.9  0.44 
-3.1394  1  0.44 
-3.1  1.07231  0.44 
-3.08472  1.1  0.44 
-3.02021  1.2  0.44 
-3  1.22724  0.44 
-2.94414  1.3  0.44 
-2.9  1.35027  0.44 
-2.85409  1.4  0.44 
-2.8  1.45208  0.44 
-2.74667  1.5  0.44 


# Contour 9, label:     0.36
-4.0923  0.8  0.36 
-4.06751  0.9  0.36 
-4.03657  1  0.36 
-4  1.09746  0.36 
-3.99906  1.1  0.36 
-3.95589  1.2  0.36 
-3.90504  1.3  0.36 
-3.9  1.30879  0.36 
-3.84737  1.4  0.36 
-3.8  1.47169  0.36 
-3.78102  1.5  0.36 
-3.7055  1.6  0.36 
-3.7  1.6066  0.36 
-3.61978  1.7  0.36 
-3.6  1.72081  0.36 
-3.52164  1.8  0.36 
-3.5  1.81996  0.36 
-3.40848  1.9  0.36 
-3.4  1.90683  0.36 
-3.3  1.98313  0.36 
-3.27627  2  0.36 
-3.2  2.05047  0.36 
-3.11769  2.1  0.36 
-3.1  2.10999  0.36 
-3  2.1622  0.36 
-2.91793  2.2  0.36 
-2.9  2.20784  0.36 
-2.8  2.24736  0.36 
-2.7  2.28101  0.36 
-2.6334  2.3  0.36 
-2.6  2.30917  0.36 
-2.5  2.33217  0.36 
-2.4  2.34999  0.36 
-2.3  2.36277  0.36 
-2.2  2.37064  0.36 
-2.1  2.37367  0.36 
-2  2.37191  0.36 
-1.9  2.36535  0.36 
-1.8  2.35394  0.36 
-1.7  2.33756  0.36 
-1.6  2.31602  0.36 
-1.54135  2.3  0.36 
-1.5  2.2895  0.36 
-1.4  2.25823  0.36 
-1.3  2.22113  0.36 
-1.25194  2.2  0.36 
-1.2  2.17878  0.36 
-1.1  2.13099  0.36 
-1.04402  2.1  0.36 
-1  2.07735  0.36 
-0.9  2.01818  0.36 
-0.873187  2  0.36 
-0.8  1.95393  0.36 
-0.7238  1.9  0.36 
-0.7  1.88436  0.36 
-0.6  1.81146  0.36 
-0.585691  1.8  0.36 
-0.5  1.73744  0.36 
-0.450737  1.7  0.36 
-0.4  1.66537  0.36 
-0.3  1.60084  0.36 
-0.298676  1.6  0.36 
-0.2  1.54861  0.36 
-0.1  1.51126  0.36 
-0.0614921  1.5  0.36 
 0  1.4854  0.36 
 0.1  1.46749  0.36 
 0.2  1.45504  0.36 
 0.3  1.43245  0.36 
 0.4  1.44384  0.36 
 0.5  1.41399  0.36 
 0.523381  1.4  0.36 
 0.538019  1.3  0.36 
 0.542649  1.2  0.36 
 0.542765  1.1  0.36 
 0.540996  1  0.36 
 0.538632  0.9  0.36 
 0.5361  0.8  0.36 
 0.534785  0.7  0.36 
 0.532597  0.6  0.36 
 0.532597  0.5  0.36 

 0.532597  0.5  0.36 
 0.5  0.467403  0.36 
 0.4  0.467403  0.36 
 0.3  0.467566  0.36 
 0.2  0.469103  0.36 
 0.1  0.471525  0.36 
 0  0.474891  0.36 
-0.1  0.479604  0.36 
-0.2  0.486559  0.36 
-0.3  0.496247  0.36 
-0.323723  0.5  0.36 
-0.323723  0.6  0.36 
-0.4  0.640334  0.36 
-0.5  0.638041  0.36 
-0.516666  0.6  0.36 
-0.5  0.583334  0.36 
-0.41343  0.5  0.36 
-0.435611  0.4  0.36 
-0.433467  0.3  0.36 
-0.432323  0.2  0.36 
-0.431895  0.1  0.36 
-0.43199  0  0.36 
-0.432611 -0.1  0.36 
-0.433868 -0.2  0.36 
-0.436165 -0.3  0.36 
-0.440082 -0.4  0.36 
-0.480097 -0.5  0.36 
-0.5 -0.520195  0.36 
-0.579805 -0.6  0.36 
-0.58536 -0.7  0.36 
-0.594919 -0.8  0.36 
-0.6 -0.82972  0.36 
-0.62227 -0.9  0.36 
-0.668234 -1  0.36 
-0.7 -1.04941  0.36 
-0.744498 -1.1  0.36 
-0.8 -1.15616  0.36 
-0.856455 -1.2  0.36 
-0.9 -1.2337  0.36 
-1 -1.29643  0.36 
-1.00702 -1.3  0.36 
-1.1 -1.35036  0.36 
-1.2 -1.39561  0.36 
-1.21189 -1.4  0.36 
-1.3 -1.43536  0.36 
-1.4 -1.46888  0.36 
-1.5 -1.49677  0.36 
-1.51477 -1.5  0.36 
-1.6 -1.52034  0.36 
-1.7 -1.539  0.36 
-1.8 -1.55292  0.36 
-1.9 -1.56227  0.36 
-2 -1.56715  0.36 
-2.1 -1.56759  0.36 
-2.2 -1.56357  0.36 
-2.3 -1.55503  0.36 
-2.4 -1.54187  0.36 
-2.5 -1.524  0.36 
-2.6 -1.50126  0.36 
-2.60484 -1.5  0.36 
-2.7 -1.47348  0.36 
-2.8 -1.4404  0.36 
-2.9 -1.40185  0.36 
-2.90444 -1.4  0.36 
-3 -1.35704  0.36 
-3.1 -1.30613  0.36 
-3.11133 -1.3  0.36 
-3.2 -1.24772  0.36 
-3.27427 -1.2  0.36 
-3.3 -1.18183  0.36 
-3.4 -1.10711  0.36 
-3.40913 -1.1  0.36 
-3.5 -1.0217  0.36 
-3.52422 -1  0.36 
-3.6 -0.924184  0.36 
-3.62356 -0.9  0.36 
-3.7 -0.81169  0.36 
-3.70997 -0.8  0.36 
-3.78582 -0.7  0.36 
-3.8 -0.678684  0.36 
-3.85243 -0.6  0.36 
-3.9 -0.517255  0.36 
-3.91001 -0.5  0.36 
-3.96062 -0.4  0.36 
-4 -0.307784  0.36 
-4.00339 -0.3  0.36 
-4.0405 -0.2  0.36 
-4.07085 -0.1  0.36 
-4.09498  0  0.36 
-4.1  0.0272849  0.36 
-4.11388  0.1  0.36 
-4.12724  0.2  0.36 
-4.13501  0.3  0.36 
-4.13735  0.4  0.36 
-4.1343  0.5  0.36 
-4.12579  0.6  0.36 
-4.11175  0.7  0.36 
-4.1  0.759826  0.36 
-4.0923  0.8  0.36 


# Contour 10, label:     0.28
-0.5  2.0166  0.28 
-0.485406  2  0.28 
-0.4  1.91406  0.28 
-0.387623  1.9  0.28 
-0.3  1.81503  0.28 
-0.286069  1.8  0.28 
-0.2  1.72487  0.28 
-0.173585  1.7  0.28 
-0.1  1.64819  0.28 
-0.0299441  1.6  0.28 
 0  1.58589  0.28 
 0.1  1.54189  0.28 
 0.2  1.50984  0.28 
 0.222554  1.5  0.28 
 0.3  1.47174  0.28 
 0.4  1.47576  0.28 
 0.5  1.42417  0.28 
 0.540407  1.4  0.28 
 0.551792  1.3  0.28 
 0.555394  1.2  0.28 
 0.555484  1.1  0.28 
 0.554108  1  0.28 
 0.552269  0.9  0.28 
